序号,股票代码,股票名称,交易日,开盘,收盘,最高,最低,成交量,大盘代码,大盘名字,开盘,收盘,最高,最低,成交量
1,SH600018,上港集箱,20030102,16.05,15.97,16.3,15.92,822184,SH000001,上证指数,1347.433,1320.63,1351.344,1317.468,6500700
2,SH600018,上港集箱,20030103,16,15.68,16,15.61,294590,SH000001,上证指数,1317.583,1319.868,1323.628,1312.796,4576474
3,SH600018,上港集箱,20030106,15.65,15.6,15.65,15.45,442708,SH000001,上证指数,1319.688,1334.679,1334.887,1311.684,6750100
4,SH600018,上港集箱,20030107,15.66,15.47,15.8,15.43,471600,SH000001,上证指数,1335.632,1332.061,1346.819,1326.191,7343200
5,SH600018,上港集箱,20030108,15.41,15.83,15.92,15.41,325730,SH000001,上证指数,1331.441,1372.067,1373.116,1330.451,9823400
6,SH600018,上港集箱,20030109,15.98,16.04,16.06,15.78,870010,SH000001,上证指数,1374.618,1397.384,1402.286,1365.37,18529300
7,SH600018,上港集箱,20030110,16.01,15.98,16.18,15.9,458600,SH000001,上证指数,1398.377,1384.859,1411.374,1384.63,16263300
8,SH600018,上港集箱,20030113,15.93,15.85,15.96,15.78,204590,SH000001,上证指数,1381.87,1386.314,1391.187,1378.647,8607700
9,SH600018,上港集箱,20030114,15.9,16.8,16.95,15.87,2344988,SH000001,上证指数,1386.897,1466.851,1476.912,1386.592,41012400
10,SH600018,上港集箱,20030115,16.8,16.7,16.94,16.5,1316257,SH000001,上证指数,1477.454,1459.92,1485.795,1448.271,37023000
11,SH600018,上港集箱,20030116,16.71,17,17.08,16.6,5825412,SH000001,上证指数,1458.866,1485.618,1486.059,1454.546,24575400
12,SH600018,上港集箱,20030117,17.08,16.76,17.1,16.76,766370,SH000001,上证指数,1488.265,1478.675,1492.723,1472.96,21566700
13,SH600018,上港集箱,20030120,16.75,16.86,17,16.43,583071,SH000001,上证指数,1475.711,1482.681,1482.943,1458.117,22487800
14,SH600018,上港集箱,20030121,16.88,16.68,16.88,16.54,605460,SH000001,上证指数,1485.87,1454.891,1489.551,1454.611,17551200
15,SH600018,上港集箱,20030122,16.68,16.85,16.99,16.6,570398,SH000001,上证指数,1448.826,1460.53,1463.938,1446.348,12139944
16,SH600018,上港集箱,20030123,16.85,16.86,16.95,16.75,618942,SH000001,上证指数,1460.249,1450.616,1470.327,1448.701,11427599
17,SH600018,上港集箱,20030124,16.88,17,17.11,16.86,3751542,SH000001,上证指数,1449.504,1479.07,1483.557,1448.011,14814600
18,SH600018,上港集箱,20030127,17.1,17.26,17.28,17.02,1915658,SH000001,上证指数,1481.609,1496.157,1500.384,1480.967,14672600
19,SH600018,上港集箱,20030128,17.32,17.27,17.32,17.18,762150,SH000001,上证指数,1497.098,1500.639,1502.432,1489.165,10478500
20,SH600018,上港集箱,20030129,17.33,17.39,17.6,17.25,1504400,SH000001,上证指数,1501.286,1499.815,1508.588,1498.372,12698300
21,SH600018,上港集箱,20030210,17.51,18.38,18.5,17.51,9323415,SH000001,上证指数,1499.166,1480.169,1499.641,1477.517,7999500
22,SH600018,上港集箱,20030211,18.28,18.44,18.5,18.05,1871636,SH000001,上证指数,1478.046,1492.764,1492.894,1476.874,5979700
23,SH600018,上港集箱,20030212,18.4,18.78,18.88,18.27,4380395,SH000001,上证指数,1493.248,1510.671,1510.985,1486.313,10627700
24,SH600018,上港集箱,20030213,18.8,18.62,18.8,18.48,2758735,SH000001,上证指数,1512.285,1504.338,1519.29,1502.431,13093300
25,SH600018,上港集箱,20030214,18.58,18.58,18.92,18.38,3042549,SH000001,上证指数,1503.373,1510.95,1515.255,1500.983,9248600
26,SH600018,上港集箱,20030217,18.58,18.61,18.9,18.56,3146530,SH000001,上证指数,1510.64,1496.523,1514.636,1490.918,11086400
27,SH600018,上港集箱,20030218,18.3,18.43,18.6,18.3,2043950,SH000001,上证指数,1495.141,1496.468,1500.293,1488.827,7252743
28,SH600018,上港集箱,20030219,18.46,18.89,18.9,18.3,3310225,SH000001,上证指数,1496.651,1510.803,1511.132,1490.022,12157155
29,SH600018,上港集箱,20030220,19.01,19.28,19.35,19.01,6316073,SH000001,上证指数,1513.007,1509.486,1517.766,1507.227,10019900
30,SH600018,上港集箱,20030221,19.26,19.06,19.26,18.87,4196628,SH000001,上证指数,1508.077,1478.871,1508.129,1476.415,12053400
31,SH600018,上港集箱,20030224,19,19.08,19.2,18.95,2913347,SH000001,上证指数,1476.07,1481.936,1488.072,1474.471,7947700
32,SH600018,上港集箱,20030225,19.15,19.34,19.7,19.05,11179315,SH000001,上证指数,1481.106,1511.275,1511.649,1481.106,12912800
33,SH600018,上港集箱,20030226,19.19,19.06,19.2,18.9,4679001,SH000001,上证指数,1513.493,1513.175,1515.457,1506.553,8486200
34,SH600018,上港集箱,20030227,19,18.79,19.06,18.53,2741993,SH000001,上证指数,1514.024,1513.704,1524.751,1508.747,10416100
35,SH600018,上港集箱,20030228,18.78,18.89,18.9,18.66,1059011,SH000001,上证指数,1512.865,1511.932,1514.502,1501.424,8360100
36,SH600018,上港集箱,20030303,18.97,18.89,19.06,18.78,1251300,SH000001,上证指数,1511.585,1525.483,1525.699,1511.045,10236144
37,SH600018,上港集箱,20030304,18.9,18.88,19,18.8,1218810,SH000001,上证指数,1527.449,1524.304,1529.752,1517.859,9198499
38,SH600018,上港集箱,20030305,18.8,18.96,19,18.64,1682846,SH000001,上证指数,1524.077,1517.179,1524.123,1508.251,8142890
39,SH600018,上港集箱,20030306,18.89,18.87,18.95,18.7,740345,SH000001,上证指数,1516.601,1498.343,1517.348,1494.241,9982208
40,SH600018,上港集箱,20030307,18.83,18.76,18.83,18.64,1611648,SH000001,上证指数,1495.694,1493.093,1502.428,1489.384,8335401
41,SH600018,上港集箱,20030310,18.7,18.46,18.74,18.38,1547600,SH000001,上证指数,1492.209,1468.919,1496.164,1467.639,8947347
42,SH600018,上港集箱,20030311,18.45,18.77,18.96,18.45,1297632,SH000001,上证指数,1467.551,1469.548,1473.955,1463.584,6336210
43,SH600018,上港集箱,20030312,18.73,18.84,18.88,18.62,531515,SH000001,上证指数,1468.747,1475.008,1475.287,1458.5,6403671
44,SH600018,上港集箱,20030313,18.8,18.8,18.96,18.69,2173795,SH000001,上证指数,1475.037,1464.649,1477.858,1463.33,6033789
45,SH600018,上港集箱,20030314,18.75,18.89,18.92,18.69,767074,SH000001,上证指数,1464.992,1466.044,1471.499,1461.351,5613442
46,SH600018,上港集箱,20030317,18.9,19.19,19.2,18.8,1215850,SH000001,上证指数,1465.144,1469.274,1469.533,1453.368,7187381
47,SH600018,上港集箱,20030318,19.1,19.09,19.18,18.8,1861482,SH000001,上证指数,1468.986,1459.892,1478.995,1458.979,7088745
48,SH600018,上港集箱,20030319,19.02,19.01,19.06,18.76,929206,SH000001,上证指数,1458.582,1469.96,1475.844,1452.592,7637422
49,SH600018,上港集箱,20030320,19,18.99,19.08,18.86,764388,SH000001,上证指数,1469.663,1464.54,1477.253,1460.799,7655740
50,SH600018,上港集箱,20030321,18.97,19.15,19.17,18.9,1141296,SH000001,上证指数,1464.184,1474.657,1475.809,1461.915,7617922
51,SH600018,上港集箱,20030324,19.14,19.3,19.35,19.1,1763632,SH000001,上证指数,1474.591,1477.766,1477.974,1470.435,6524191
52,SH600018,上港集箱,20030325,19.3,18.8,19.3,18.8,1922184,SH000001,上证指数,1478.053,1462.4,1478.405,1461.754,6475235
53,SH600018,上港集箱,20030326,18.75,18.84,18.97,18.71,830358,SH000001,上证指数,1461.321,1456.271,1465.425,1452.891,6271469
54,SH600018,上港集箱,20030327,18.8,19.59,19.7,18.75,2666509,SH000001,上证指数,1455.439,1499.347,1507.668,1447.014,15051894
55,SH600018,上港集箱,20030331,19.4,19.57,19.68,19.38,4902176,SH000001,上证指数,1491.391,1510.578,1511.22,1490.986,11841571
56,SH600018,上港集箱,20030401,19.7,20.21,20.3,19.6,13715742,SH000001,上证指数,1513.001,1522.546,1525.235,1508.844,15222781
57,SH600018,上港集箱,20030402,20.11,19.86,20.22,19.7,3226272,SH000001,上证指数,1522.491,1521.32,1525.769,1516.788,11090214
58,SH600018,上港集箱,20030403,20,20.03,20.18,19.86,4037037,SH000001,上证指数,1521.356,1511.729,1522.671,1510.512,9479199
59,SH600018,上港集箱,20030404,20,19.96,20.08,19.87,3824579,SH000001,上证指数,1510.222,1521.128,1521.783,1509.61,10240916
