序号,股票代码,股票名称,交易日,开盘,收盘,最高,最低,成交量,大盘代码,大盘名字,开盘,收盘,最高,最低,成交量
1,SZ002007,N 华  兰,20040625,29.2,26.7,31.48,26.2,14388124,SZ399001,深证成指,3294.844,3255.598,3322.177,3249.744,117005842
2,SZ002007,华兰生物,20040628,24.03,24.03,24.56,24.03,745600,SZ399001,深证成指,3248.419,3230.78,3268.129,3225.245,149870504
3,SZ002007,华兰生物,20040629,21.63,21.63,21.99,21.63,2647335,SZ399001,深证成指,3232.577,3288.664,3289.367,3217.566,174581624
4,SZ002007,华兰生物,20040630,20.85,21.08,21.83,20.82,3020329,SZ399001,深证成指,3294.011,3275.85,3317.916,3273.329,146064758
5,SZ002007,华兰生物,20040701,21.15,20.9,21.55,20.82,1591041,SZ399001,深证成指,3274.496,3384.892,3391.75,3268.277,236588063
6,SZ002007,华兰生物,20040702,20.94,19.64,21.22,19.03,2665629,SZ399001,深证成指,3386.05,3391.759,3405.951,3350.658,130874199
7,SZ002007,华兰生物,20040705,19.68,19.65,19.85,19.1,1174790,SZ399001,深证成指,3390.854,3381.208,3390.854,3358.637,100000105
8,SZ002007,华兰生物,20040706,19.5,19.69,20.17,19.4,992753,SZ399001,深证成指,3385.545,3398.189,3436.482,3385.545,154932770
9,SZ002007,华兰生物,20040707,19.65,19.26,19.7,19.01,963735,SZ399001,深证成指,3397.174,3364.87,3397.174,3355.966,90528272
10,SZ002007,华兰生物,20040708,19.15,19.3,19.55,19.12,442328,SZ399001,深证成指,3365.312,3369.691,3371.586,3343.939,80122434
11,SZ002007,华兰生物,20040709,19.55,19.05,19.68,19.02,687186,SZ399001,深证成指,3375.014,3345.849,3396.902,3343.548,80359555
12,SZ002007,华兰生物,20040712,18.8,17.71,18.99,17.6,1183927,SZ399001,深证成指,3342.535,3277.31,3342.535,3273.976,99900043
13,SZ002007,华兰生物,20040713,17.7,17.79,17.93,17.09,733823,SZ399001,深证成指,3281.146,3298.007,3307.401,3265.262,64568856
14,SZ002007,华兰生物,20040714,17.7,17.89,17.9,17.13,677275,SZ399001,深证成指,3298.892,3296.369,3319.749,3248.459,122806965
15,SZ002007,华兰生物,20040715,17.98,18.29,18.78,17.7,1037798,SZ399001,深证成指,3294.591,3341.814,3344.199,3289.593,171306431
16,SZ002007,华兰生物,20040716,18.25,19.15,19.46,18.1,1488524,SZ399001,深证成指,3347.944,3442.074,3452.499,3347.944,307981926
17,SZ002007,华兰生物,20040719,19.16,18.95,19.46,18.7,783207,SZ399001,深证成指,3444.428,3444.344,3463.043,3419.226,162707125
18,SZ002007,华兰生物,20040720,18.95,18.72,19.18,18.7,554100,SZ399001,深证成指,3445.338,3417.275,3445.338,3398.571,150355518
19,SZ002007,华兰生物,20040721,18.69,18.06,19,18.03,694858,SZ399001,深证成指,3415.384,3414.816,3436.405,3399.423,121071619
20,SZ002007,华兰生物,20040722,18.06,17.6,18.48,17.5,544450,SZ399001,深证成指,3419.993,3338.908,3430.448,3328.16,157676342
21,SZ002007,华兰生物,20040723,17.59,18.05,18.12,17.45,463865,SZ399001,深证成指,3325.641,3334.686,3334.686,3286.411,162395499
22,SZ002007,华兰生物,20040726,18,17.5,18,17.31,335369,SZ399001,深证成指,3326.426,3297.952,3340.171,3277.135,149540415
23,SZ002007,华兰生物,20040727,17.53,16.88,17.6,16.53,623282,SZ399001,深证成指,3294.538,3275.02,3306.762,3251.35,151031322
24,SZ002007,华兰生物,20040728,16.75,17.39,17.39,16.61,493950,SZ399001,深证成指,3282.188,3303.239,3313.772,3262.206,135595372
25,SZ002007,华兰生物,20040729,17.46,17.93,18.28,17.21,741123,SZ399001,深证成指,3308.004,3329.118,3329.51,3287.226,133477585
26,SZ002007,华兰生物,20040730,17.93,18.28,18.52,17.71,1233994,SZ399001,深证成指,3330.364,3283.37,3331.064,3279.602,113846552
27,SZ002007,华兰生物,20040802,18.11,18.4,18.95,18,1227612,SZ399001,深证成指,3277.375,3257.657,3277.375,3245.838,105384669
28,SZ002007,华兰生物,20040803,18.31,19.24,19.24,18.3,1261504,SZ399001,深证成指,3253.375,3227.997,3263.89,3220.04,103642569
29,SZ002007,华兰生物,20040804,19.08,18.86,19.11,18.61,1727219,SZ399001,深证成指,3227.166,3318.503,3360.112,3223.396,185158523
30,SZ002007,华兰生物,20040805,19.03,19.35,20.4,19,2341522,SZ399001,深证成指,3316.415,3268.332,3327.381,3263.211,104667569
31,SZ002007,华兰生物,20040806,19.32,19.45,19.81,18.65,1778086,SZ399001,深证成指,3267.491,3274.429,3292.903,3255.454,77332992
32,SZ002007,华兰生物,20040809,19.28,18.75,19.32,18.51,775902,SZ399001,深证成指,3276.752,3298.302,3302.222,3265.581,89768285
33,SZ002007,华兰生物,20040810,18.61,18.83,18.97,18.56,375564,SZ399001,深证成指,3299.955,3304.76,3319.395,3285.683,84546444
34,SZ002007,华兰生物,20040811,18.83,18.94,19.31,18.81,890665,SZ399001,深证成指,3304.36,3270.681,3305.301,3264.729,87843734
35,SZ002007,华兰生物,20040812,18.8,18.79,19.1,18.43,620075,SZ399001,深证成指,3259.607,3227.522,3259.607,3209.505,113549387
36,SZ002007,华兰生物,20040813,18.8,18,18.95,17.92,681100,SZ399001,深证成指,3225.898,3245.812,3269.121,3220.009,110098230
37,SZ002007,华兰生物,20040816,17.91,16.9,18,16.81,1246211,SZ399001,深证成指,3249.314,3217.073,3254.194,3210.136,114067889
38,SZ002007,华兰生物,20040817,16.88,17.17,17.48,16.83,517841,SZ399001,深证成指,3220.165,3226.622,3238.403,3193.425,80858388
39,SZ002007,华兰生物,20040818,17.18,16.92,17.3,16.82,449712,SZ399001,深证成指,3230.738,3233.848,3262.633,3228.815,103303593
40,SZ002007,华兰生物,20040819,16.69,17.08,17.2,16.68,351607,SZ399001,深证成指,3236.514,3190.335,3236.514,3172.123,128891930
41,SZ002007,华兰生物,20040820,17.26,17.44,17.55,17.02,470736,SZ399001,深证成指,3186.99,3185.715,3201.563,3146.611,125931139
42,SZ002007,华兰生物,20040823,17.09,16.93,17.18,16.71,358406,SZ399001,深证成指,3183.129,3151.744,3183.129,3139.111,81001780
43,SZ002007,华兰生物,20040824,16.9,17.05,17.46,16.9,350832,SZ399001,深证成指,3150.032,3182.527,3196.137,3133.728,103504830
44,SZ002007,华兰生物,20040825,17.1,16.81,17.1,16.75,299748,SZ399001,深证成指,3185.709,3165.067,3186.514,3149.834,77293534
45,SZ002007,华兰生物,20040826,16.8,16.1,16.82,16.02,582756,SZ399001,深证成指,3167.089,3156.978,3176.758,3150.263,82412158
